127.0.0.1 - - [13/Nov/2022:16:41:23 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [13/Nov/2022:16:41:27 +0900] "GET /jv HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [13/Nov/2022:16:41:27 +0900] "GET /jv/ HTTP/1.1" 200 30663
0:0:0:0:0:0:0:1 - - [13/Nov/2022:16:41:28 +0900] "GET /jv/resources/image/exhibition.png HTTP/1.1" 200 1507339
0:0:0:0:0:0:0:1 - - [13/Nov/2022:16:41:28 +0900] "GET /jv/resources/image/exhibition2.png HTTP/1.1" 200 516637
0:0:0:0:0:0:0:1 - - [13/Nov/2022:16:41:28 +0900] "GET /jv/resources/image/exhibition3.png HTTP/1.1" 200 1788237
0:0:0:0:0:0:0:1 - - [13/Nov/2022:16:41:28 +0900] "GET /jv/resources/image/exhibition4.png HTTP/1.1" 200 1255632
0:0:0:0:0:0:0:1 - - [13/Nov/2022:16:41:28 +0900] "GET /jv/resources/image/newslettermain1.png HTTP/1.1" 200 253651
0:0:0:0:0:0:0:1 - - [13/Nov/2022:16:41:28 +0900] "GET /jv/resources/image/newslettermain2.png HTTP/1.1" 200 457423
0:0:0:0:0:0:0:1 - - [13/Nov/2022:16:41:28 +0900] "GET /jv/resources/image/newslettermain3.png HTTP/1.1" 200 259135
0:0:0:0:0:0:0:1 - - [13/Nov/2022:16:41:28 +0900] "GET /jv/resources/image/newslettermain4.png HTTP/1.1" 200 263659
0:0:0:0:0:0:0:1 - - [13/Nov/2022:16:41:28 +0900] "GET /jv/resources/image/newslettermain5.png HTTP/1.1" 200 519480
0:0:0:0:0:0:0:1 - - [13/Nov/2022:16:41:28 +0900] "GET /jv/resources/image/main_video_5.mp4 HTTP/1.1" 206 59409442
0:0:0:0:0:0:0:1 - - [13/Nov/2022:16:41:28 +0900] "GET /jv/resources/image/main_video_3.mp4 HTTP/1.1" 206 12822923
0:0:0:0:0:0:0:1 - - [13/Nov/2022:16:41:28 +0900] "GET /jv/resources/image/main_video_5.mp4 HTTP/1.1" 206 33826
0:0:0:0:0:0:0:1 - - [13/Nov/2022:16:41:28 +0900] "GET /jv/resources/image/main_video_5.mp4 HTTP/1.1" 206 33826
0:0:0:0:0:0:0:1 - - [13/Nov/2022:16:41:28 +0900] "GET /jv/resources/image/main_video_3.mp4 HTTP/1.1" 206 43403
0:0:0:0:0:0:0:1 - - [13/Nov/2022:16:41:29 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [13/Nov/2022:16:41:29 +0900] "GET /jv/resources/image/main_video_5.mp4 HTTP/1.1" 206 54132736
0:0:0:0:0:0:0:1 - - [13/Nov/2022:16:41:37 +0900] "GET /jv/resources/image/main_video_3.mp4 HTTP/1.1" 206 7536640
0:0:0:0:0:0:0:1 - - [13/Nov/2022:16:41:56 +0900] "GET /jv/resources/image/main_video_5.mp4 HTTP/1.1" 206 33826
0:0:0:0:0:0:0:1 - - [13/Nov/2022:16:42:36 +0900] "GET /jv/login HTTP/1.1" 200 15798
0:0:0:0:0:0:0:1 - - [13/Nov/2022:16:42:48 +0900] "GET /jv/login HTTP/1.1" 200 15798
0:0:0:0:0:0:0:1 - - [13/Nov/2022:16:42:49 +0900] "GET /jv/info HTTP/1.1" 200 15564
0:0:0:0:0:0:0:1 - - [13/Nov/2022:16:42:49 +0900] "GET /jv/resources/image/introduce.png HTTP/1.1" 200 361452
0:0:0:0:0:0:0:1 - - [13/Nov/2022:16:42:52 +0900] "GET /jv/location HTTP/1.1" 200 16432
0:0:0:0:0:0:0:1 - - [13/Nov/2022:16:42:52 +0900] "GET /jv/resources/image/info.jpg HTTP/1.1" 200 193237
0:0:0:0:0:0:0:1 - - [13/Nov/2022:16:42:53 +0900] "GET /jv/facility HTTP/1.1" 200 18492
0:0:0:0:0:0:0:1 - - [13/Nov/2022:16:42:53 +0900] "GET /jv/resources/image/guidance/facility_store.PNG HTTP/1.1" 200 1030179
0:0:0:0:0:0:0:1 - - [13/Nov/2022:16:42:53 +0900] "GET /jv/resources/image/guidance/facility_cafe.PNG HTTP/1.1" 200 944598
0:0:0:0:0:0:0:1 - - [13/Nov/2022:16:42:53 +0900] "GET /jv/resources/image/guidance/facility_parking.PNG HTTP/1.1" 200 888839
0:0:0:0:0:0:0:1 - - [13/Nov/2022:16:42:53 +0900] "GET /jv/resources/image/guidance/facility_locker.PNG HTTP/1.1" 200 395172
0:0:0:0:0:0:0:1 - - [13/Nov/2022:16:42:53 +0900] "GET /jv/resources/image/guidance/facility_ticketmachine.PNG HTTP/1.1" 200 863315
0:0:0:0:0:0:0:1 - - [13/Nov/2022:16:42:53 +0900] "GET /jv/resources/image/guidance/facility_others.PNG HTTP/1.1" 200 874539
0:0:0:0:0:0:0:1 - - [13/Nov/2022:16:42:54 +0900] "GET /jv/directions HTTP/1.1" 200 17381
0:0:0:0:0:0:0:1 - - [13/Nov/2022:16:42:54 +0900] "GET /jv/resources/image/guidance/map_mark.png HTTP/1.1" 200 12385
0:0:0:0:0:0:0:1 - - [13/Nov/2022:16:43:02 +0900] "GET /jv/location HTTP/1.1" 200 16432
0:0:0:0:0:0:0:1 - - [13/Nov/2022:16:43:03 +0900] "GET /jv/facility HTTP/1.1" 200 18492
0:0:0:0:0:0:0:1 - - [13/Nov/2022:16:43:03 +0900] "GET /jv/directions HTTP/1.1" 200 17381
0:0:0:0:0:0:0:1 - - [13/Nov/2022:16:43:08 +0900] "GET /jv HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [13/Nov/2022:16:43:08 +0900] "GET /jv/ HTTP/1.1" 200 30663
0:0:0:0:0:0:0:1 - - [13/Nov/2022:16:43:08 +0900] "GET /jv/resources/image/main_video_5.mp4 HTTP/1.1" 206 33488896
0:0:0:0:0:0:0:1 - - [13/Nov/2022:16:43:09 +0900] "GET /jv/resources/image/main_video_5.mp4 HTTP/1.1" 206 32944128
0:0:0:0:0:0:0:1 - - [13/Nov/2022:16:43:33 +0900] "GET /jv/resources/image/main_video_5.mp4 HTTP/1.1" 206 25920546
0:0:0:0:0:0:0:1 - - [13/Nov/2022:17:10:56 +0900] "GET /jv/resources/image/main_video_5.mp4 HTTP/1.1" 206 7602176
0:0:0:0:0:0:0:1 - - [13/Nov/2022:17:10:56 +0900] "GET /jv/resources/image/main_video_5.mp4 HTTP/1.1" 206 51807266
0:0:0:0:0:0:0:1 - - [13/Nov/2022:17:11:09 +0900] "GET /jv/list.ex?term=C&currentPage=1 HTTP/1.1" 200 19276
0:0:0:0:0:0:0:1 - - [13/Nov/2022:17:11:09 +0900] "GET /jv/resources/image/ex1235_1.jpg HTTP/1.1" 200 172351
0:0:0:0:0:0:0:1 - - [13/Nov/2022:17:11:09 +0900] "GET /jv/resources/image/ex1234_1.jpg HTTP/1.1" 200 76553
0:0:0:0:0:0:0:1 - - [13/Nov/2022:17:11:09 +0900] "GET /jv/resources/image/ex1237_1.jpg HTTP/1.1" 200 355018
0:0:0:0:0:0:0:1 - - [13/Nov/2022:17:11:09 +0900] "GET /jv/resources/image/ex1238_1.jpg HTTP/1.1" 200 131085
0:0:0:0:0:0:0:1 - - [13/Nov/2022:17:11:09 +0900] "GET /jv/resources/image/ex1241_1.jpg HTTP/1.1" 200 269612
0:0:0:0:0:0:0:1 - - [13/Nov/2022:17:11:13 +0900] "GET /jv/list.ex?term=C&currentPage=2 HTTP/1.1" 200 18045
0:0:0:0:0:0:0:1 - - [13/Nov/2022:17:11:13 +0900] "GET /jv/resources/image/ex1240_1.jpg HTTP/1.1" 200 65532
0:0:0:0:0:0:0:1 - - [13/Nov/2022:17:11:13 +0900] "GET /jv/resources/image/ex1239_1.jpg HTTP/1.1" 200 198379
0:0:0:0:0:0:0:1 - - [13/Nov/2022:17:11:13 +0900] "GET /jv/resources/image/ex1236_1.jpg HTTP/1.1" 200 34970
0:0:0:0:0:0:0:1 - - [13/Nov/2022:17:11:15 +0900] "GET /jv/list.ex?term=P&currentPage=1 HTTP/1.1" 200 19501
0:0:0:0:0:0:0:1 - - [13/Nov/2022:17:11:16 +0900] "GET /jv/resources/image/ex1250_1.jpg HTTP/1.1" 200 148735
0:0:0:0:0:0:0:1 - - [13/Nov/2022:17:11:16 +0900] "GET /jv/resources/image/ex1247_1.jpg HTTP/1.1" 200 191718
0:0:0:0:0:0:0:1 - - [13/Nov/2022:17:11:16 +0900] "GET /jv/resources/image/ex1248_1.jpg HTTP/1.1" 200 214667
0:0:0:0:0:0:0:1 - - [13/Nov/2022:17:11:16 +0900] "GET /jv/resources/image/ex1255_1.jpg HTTP/1.1" 200 66667
0:0:0:0:0:0:0:1 - - [13/Nov/2022:17:11:16 +0900] "GET /jv/resources/image/ex1249_1.jpg HTTP/1.1" 200 984609
0:0:0:0:0:0:0:1 - - [13/Nov/2022:17:11:18 +0900] "GET /jv/list.ex?term=P&currentPage=2 HTTP/1.1" 200 19592
0:0:0:0:0:0:0:1 - - [13/Nov/2022:17:11:18 +0900] "GET /jv/resources/image/ex1242_1.jpg HTTP/1.1" 200 601088
0:0:0:0:0:0:0:1 - - [13/Nov/2022:17:11:18 +0900] "GET /jv/resources/image/ex1246_1.jpg HTTP/1.1" 200 117988
0:0:0:0:0:0:0:1 - - [13/Nov/2022:17:11:18 +0900] "GET /jv/resources/image/ex1243_1.jpg HTTP/1.1" 200 1849330
0:0:0:0:0:0:0:1 - - [13/Nov/2022:17:11:18 +0900] "GET /jv/resources/image/ex1244_1.jpg HTTP/1.1" 200 189463
0:0:0:0:0:0:0:1 - - [13/Nov/2022:17:11:18 +0900] "GET /jv/resources/image/ex1252_1.jpg HTTP/1.1" 200 48916
0:0:0:0:0:0:0:1 - - [13/Nov/2022:17:11:22 +0900] "GET /jv/list.ex?term=P&currentPage=1 HTTP/1.1" 200 19501
0:0:0:0:0:0:0:1 - - [13/Nov/2022:17:11:22 +0900] "GET /jv/list.ex?term=F&currentPage=1 HTTP/1.1" 200 19511
0:0:0:0:0:0:0:1 - - [13/Nov/2022:17:11:22 +0900] "GET /jv/resources/image/ex1256_1.jpg HTTP/1.1" 200 395786
